PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,Class
1427.5811,515.6693,354.6234,0.726,427.2253,0.9865,145320,0
1671.417,615.8516,403.3667,0.7557,497.3849,0.987,196863,0
1503.598,546.4366,361.8018,0.7494,443.1601,0.9883,156070,0
1463.5551,544.9724,361.5594,0.7482,443.4745,0.9944,155339,0
1403.356,542.065,326.1642,0.7987,419.572,0.9935,139162,0
1467.722,573.7374,333.2054,0.8141,436.7935,0.9918,151080,0
1569.068,587.965,367.5672,0.7805,464.074,0.9923,170461,0
1530.787,564.7152,362.0923,0.7674,451.0723,0.992,161095,0
1487.1,534.5702,393.8198,0.6762,457.748,0.9923,165851,0
1426.858,535.9053,345.1051,0.7651,429.6369,0.9922,146121,0
1249.179,455.7418,321.8139,0.7081,382.6304,0.9915,115968,0
1365.856,519.2155,318.9104,0.7891,406.6645,0.9908,131098,0
1447.647,546.0123,343.9355,0.7767,432.9272,0.993,148249,0
1681.762,665.5488,372.4787,0.8287,495.6565,0.9926,194383,0
1749.959,686.3148,390.2822,0.8226,516.7471,0.9928,211245,0
1317.364,484.117,329.4612,0.7327,399.0715,0.9909,126226,0
1420.212,530.3442,350.9143,0.7498,431.1782,0.9947,146796,0
1435.4399,526.9439,362.1404,0.7264,436.7367,0.994,150711,0
1397.4399,533.3875,330.7272,0.7846,419.2669,0.9927,139081,0
1454.797,541.0281,357.0083,0.7514,439.2773,0.9941,152457,0
1172.319,418.8293,306.666,0.6811,357.7994,0.9895,101619,0
1496.624,567.7551,349.5084,0.7881,444.9879,0.987,157562,0
1410.527,536.2725,323.7206,0.7972,416.4117,0.9909,137436,0
1435.196,546.4086,335.3802,0.7895,427.3653,0.9896,144948,0
1662.217,625.8346,390.4694,0.7815,492.669,0.9884,192862,0
1361.24,477.3502,345.5285,0.69,405.3788,0.9846,131091,0
1451.353,550.7023,337.9216,0.7896,430.8192,0.9918,146972,0
1236.871,438.3364,317.6122,0.6892,372.835,0.991,110166,0
1433.1801,493.1908,390.8281,0.6099,438.7248,0.9886,152921,0
1724.1591,673.0964,382.4955,0.8228,506.5794,0.9917,203247,0
1190.031,440.8981,299.0482,0.7348,362.6682,0.9917,104165,0
1145.434,419.3492,293.6552,0.7139,350.8225,0.9938,97268,0
1553.136,571.5416,373.4686,0.757,460.0301,0.9845,168829,0
1452.262,523.1368,352.3305,0.7392,428.1259,0.9844,146236,0
1210.703,458.1432,293.0307,0.7687,365.7585,0.9931,105801,0
1592.699,624.2347,333.1545,0.8457,455.3524,0.9847,165383,0
1429.6121,551.2555,331.1201,0.7995,426.0659,0.9896,144067,0
1410.396,510.8343,357.1331,0.715,425.7953,0.9844,144650,0
1125.9041,400.1798,305.4454,0.6461,349.4443,0.994,96484,0
1445.879,537.6102,358.1697,0.7458,438.2849,0.9904,152327,0
1613.375,611.778,371.4034,0.7946,476.2469,0.9873,180422,0
1257.132,471.8904,305.1801,0.7627,379.1656,0.9897,114094,0
1445.1949,542.8766,344.2591,0.7732,431.7404,0.989,148022,0
1647.4351,621.3907,354.2521,0.8216,468.4867,0.9804,175830,0
1320.2679,492.9375,324.2897,0.7531,399.5387,0.9935,126194,0
1440.998,536.7607,346.9765,0.763,431.1782,0.9883,147745,0
1319.9,488.1225,330.096,0.7367,400.9987,0.9929,127190,0
1524.984,583.8958,345.9882,0.8055,448.5616,0.9873,160056,0
1428.892,518.9333,359.8793,0.7205,431.2402,0.9903,147483,0
1503.392,560.9233,364.1994,0.7605,451.1513,0.9875,161889,0
1446.12,553.8131,332.1207,0.8002,427.6959,0.9889,145285,0
1540.965,583.5817,364.5487,0.7809,460.6566,0.9902,168309,0
1591.974,603.1065,370.933,0.7885,471.2088,0.9887,176384,0
1423.744,529.3361,348.0392,0.7535,427.0897,0.9917,144456,0
1482.381,544.0471,356.7963,0.7549,438.777,0.9842,153636,0
1559.245,596.3097,355.5895,0.8027,459.7186,0.9904,167596,0
1217.454,434.7454,313.3625,0.6931,368.7453,0.9883,108062,0
1186.373,437.8452,292.6243,0.7439,357.6642,0.9891,101577,0
1586.569,589.5577,367.1072,0.7825,464.2564,0.984,172030,0
1386.02,525.6892,320.6077,0.7925,409.9512,0.9887,133507,0
1249.8781,460.5971,310.5606,0.7385,377.6852,0.9903,113126,0
1511.626,568.4935,365.8966,0.7653,455.1832,0.9932,163847,0
1628.151,615.6091,385.9771,0.779,486.9528,0.9896,188192,0
1540.894,588.4892,352.1533,0.8012,454.7424,0.9883,164338,0
1096.823,384.0147,286.8239,0.6649,331.3152,0.9863,87412,0
1332.6071,506.1284,311.3531,0.7884,396.2539,0.9925,124256,0
1251.496,462.6203,313.1204,0.7361,380.4278,0.9936,114397,0
1515.802,542.8138,386.6868,0.7018,456.9211,0.9848,166510,0
1488.0179,568.9197,342.9484,0.7979,441.1631,0.9905,154319,0
1198.348,427.9125,306.0871,0.6988,361.3157,0.9871,103878,0
1447.351,558.1056,335.986,0.7985,432.3725,0.9919,148026,0
1405.913,499.2482,351.661,0.7098,418.437,0.9814,140115,0
1476.855,548.2127,358.0435,0.7573,441.3102,0.9893,154608,0
1059.046,378.1419,270.6614,0.6983,319.2416,0.9883,80990,0
1468.962,529.6494,351.6841,0.7477,430.318,0.9834,147893,0
1481.552,570.8041,332.1487,0.8133,433.1992,0.986,149481,0
1294.531,470.6189,335.611,0.701,397.2023,0.9946,124580,0
1039.924,372.3486,279.8673,0.6596,288.984,0.8366,78398,0
1370.5649,500.5441,334.8896,0.7432,409.0417,0.9845,133481,0
1531.929,581.2218,358.1298,0.7876,455.6934,0.9904,164682,0
1172.512,430.8867,292.512,0.7343,354.8622,0.9893,99970,0
2426.929,839.151,608.4485,0.6887,707.0806,0.9609,408646,1
2171.8191,784.9254,548.2628,0.7156,653.8585,0.9916,338621,1
2426.52,824.3616,645.8687,0.6214,725.2591,0.9823,420557,1
2615.5859,920.805,661.1169,0.6961,779.2183,0.9872,483065,1
2507.5659,862.3845,623.2335,0.6912,731.1035,0.9769,429713,1
2499.8979,820.2778,617.9729,0.6576,708.3696,0.9759,403856,1
2512.29,828.7861,656.6302,0.6102,731.9772,0.9794,429643,1
2365.0149,849.6564,591.2424,0.7182,702.9096,0.9818,395251,1
2074.262,732.5558,526.1931,0.6957,611.8282,0.9767,301007,1
2186.3491,785.2363,545.4142,0.7194,652.2715,0.985,339252,1
2633.251,863.0063,650.1967,0.6576,745.3728,0.9783,446045,1
2439.98,834.7051,644.6805,0.6352,728.9312,0.9891,421904,1
2147.4031,782.5893,461.9426,0.8072,597.2996,0.9705,288731,1
2316.5759,843.6231,568.7056,0.7386,690.13,0.9816,381065,1
2338.3799,826.2022,592.3029,0.6972,693.8615,0.9764,387284,1
2322.74,856.04,548.2668,0.768,682.0237,0.984,371273,1
2364.0029,796.3392,601.9151,0.6547,687.4043,0.9839,377202,1
2298.8279,808.2624,573.2375,0.705,677.8507,0.9836,366875,1
2540.2661,900.9417,635.8699,0.7084,751.1065,0.9861,449339,1
2408.4829,892.5831,560.5852,0.7782,704.1258,0.9766,398722,1
2434.3379,865.7617,620.3712,0.6975,731.9207,0.9886,425584,1
2547.897,884.2006,606.6811,0.7275,715.4876,0.9373,428938,1
2402.864,834.9078,633.4919,0.6514,722.7205,0.9866,415823,1
2256.375,828.0157,536.2778,0.7619,663.6731,0.9843,351450,1
2236.075,796.4923,555.0388,0.7172,663.8534,0.9866,350827,1
2438.5959,904.5048,583.305,0.7643,723.1713,0.9883,415594,1
2447.0029,893.8555,585.3982,0.7557,717.0616,0.9868,409217,1
2718.394,849.6819,672.2542,0.6116,750.6801,0.9619,460137,1
2297.5349,836.8202,572.043,0.7299,684.5729,0.9825,374626,1
2326.47,821.9995,558.0138,0.7343,670.6209,0.9693,364420,1
2213.5681,758.2262,614.7969,0.5853,679.8426,0.9899,366699,1
2116.438,756.3036,543.8585,0.6949,633.7303,0.9873,319495,1
2314.4861,786.859,640.9199,0.5801,707.9147,0.9898,397668,1
2384.4971,797.2854,578.7468,0.6878,672.5064,0.961,369625,1
2400.584,823.7263,595.5487,0.6909,695.0349,0.9739,389590,1
2294.5259,786.4102,602.9735,0.642,684.9847,0.9862,373660,1
2231.875,785.7068,559.6172,0.7019,657.9418,0.9813,346471,1
2342.5061,849.3478,569.2149,0.7422,694.0761,0.9896,382342,1
2315.4099,826.4971,588.5672,0.7021,695.3041,0.9879,384352,1
2231.1201,786.3395,563.5261,0.6974,661.6325,0.9808,350554,1
2190.554,786.7602,561.9791,0.6998,664.1765,0.9917,349372,1
2460.917,893.8253,578.3685,0.7624,716.0142,0.9863,408238,1
2464.7891,843.9724,625.0685,0.6719,717.1433,0.9678,417345,1
2425.731,872.2453,597.3273,0.7287,712.0439,0.9734,409088,1
2242.1531,795.743,573.1878,0.6936,672.3322,0.9842,360723,1
2505.5481,847.0129,674.6112,0.6047,751.2921,0.9814,451720,1
2113.1379,707.908,578.8624,0.5756,612.1683,0.9402,313038,1
2443.8411,836.4046,648.322,0.6318,731.3229,0.9789,429125,1
2540.5979,918.8098,628.7631,0.7292,758.8658,0.9902,456763,1
2424.627,826.4653,654.4321,0.6107,734.619,0.9919,427310,1
2521.8469,870.0806,647.3481,0.6682,744.2197,0.9744,446419,1
2328.2771,761.6957,647.8665,0.5259,699.9044,0.9845,390794,1
2342.3311,826.6586,603.5352,0.6834,703.8265,0.9913,392486,1
2434.855,883.4255,593.9301,0.7403,718.5711,0.9785,414464,1
2406.9331,802.006,662.986,0.5627,726.0881,0.9866,419708,1
2570.7129,815.3513,679.2316,0.5532,738.8178,0.9745,439942,1
2472.636,905.2772,583.0439,0.765,722.842,0.9844,416888,1
2497.0759,886.3205,618.4668,0.7163,737.2307,0.987,432478,1
2478.1851,915.9321,587.1704,0.7675,730.9589,0.9822,427225,1
2473.9919,859.162,580.8442,0.7368,700.5299,0.9712,396843,1
2217.8301,802.2562,542.3231,0.7369,652.5018,0.9861,339100,1
2354.0039,829.4393,613.8098,0.6726,709.2893,0.9819,402402,1
2210.168,751.1333,602.6666,0.5969,667.8118,0.9844,355819,1
2531.311,883.0855,664.6406,0.6584,763.8768,0.9839,465786,1
2361.915,845.2822,571.5057,0.7368,691.2177,0.9784,383519,1
2489.5581,884.2215,593.9569,0.7408,714.8556,0.9381,427855,1
2485.04,932.6669,505.3012,0.8405,679.8051,0.956,379677,2
2250.4331,848.323,483.1063,0.822,636.4989,0.9784,325221,2
2479.239,892.5263,560.6314,0.7781,705.9813,0.9846,397557,2
2355.499,924.204,510.8777,0.8333,685.4873,0.9882,373474,2
2652.927,998.5767,442.5258,0.8964,658.4158,0.9432,360967,2
2397.759,899.7597,479.4367,0.8462,652.0684,0.9794,340983,2
2419.9121,913.3724,501.1158,0.8361,674.5396,0.9761,366103,2
2200.635,861.2217,477.5822,0.8322,638.7155,0.9749,328674,2
2315.5601,910.2367,486.0287,0.8455,664.2474,0.9851,351786,2
2324.1609,857.509,541.6883,0.7752,680.5707,0.9859,368999,2
2323.3391,908.402,502.3913,0.8331,672.1324,0.9804,361910,2
2155.959,779.7753,488.4755,0.7795,615.1208,0.9716,305852,2
2252.614,836.8517,533.9788,0.77,661.3024,0.9752,352200,2
2259.6599,888.6778,471.2458,0.8478,644.9257,0.9694,336982,2
2314.436,923.5089,441.0663,0.8786,634.2866,0.9608,328868,2
2196.303,817.7822,518.3866,0.7734,643.1474,0.9747,333319,2
2431.9409,902.0753,504.1099,0.8293,672.2517,0.9701,365893,2
2415.4199,885.6404,446.5649,0.8636,624.7411,0.9659,317373,2
2404.842,953.9807,498.8006,0.8524,686.9791,0.9802,378137,2
2263.426,922.5724,431.2169,0.884,627.1058,0.9867,313031,2
2172.677,799.2029,499.2812,0.7808,628.899,0.9778,317703,2
2230.7729,868.1721,514.5999,0.8054,666.3,0.9939,350832,2
2267.6841,881.6727,489.0849,0.832,654.0045,0.9777,343609,2
2275.9231,876.8048,473.0537,0.842,641.1726,0.9737,331585,2
2623.8569,951.4442,502.8416,0.8489,688.2133,0.9679,384342,2
2316.8181,844.9014,503.534,0.803,649.2986,0.9495,348728,2
2341.7161,898.2679,510.7881,0.8226,675.2018,0.9781,366070,2
2468.679,898.7985,505.8577,0.8266,670.2392,0.9407,375050,2
2058.97,782.1415,469.3111,0.8,604.0814,0.9843,291172,2
2311.6509,861.9067,455.7622,0.8488,623.2004,0.954,319728,2
2386.698,803.0966,519.4846,0.7626,644.3529,0.9727,335242,2
2195.2859,776.0174,450.5913,0.8142,589.1771,0.9776,278895,2
2681.0071,909.2697,510.2585,0.8277,678.7808,0.9594,377190,2
2104.054,786.5365,476.3308,0.7958,610.1537,0.979,298663,2
2386.5979,942.1682,521.4256,0.8329,700.139,0.9904,388735,2
2159.3999,831.4197,466.0862,0.8281,617.5317,0.9714,308330,2
2135.521,799.3446,485.4948,0.7944,622.4205,0.9914,306911,2
2481.958,917.0978,521.7222,0.8224,687.0032,0.9757,379925,2
2515.0081,983.1814,498.3077,0.862,697.6295,0.976,391649,2
2219.7009,832.1495,487.2321,0.8107,633.9865,0.9789,322493,2
2155.209,811.8257,503.8588,0.7841,637.7948,0.9873,323609,2
2297.4441,889.015,473.2075,0.8466,645.1458,0.9709,336684,2
2413.0229,902.8517,498.4926,0.8338,666.2322,0.9357,372583,2
2157.9819,886.1564,400.3563,0.8921,592.6548,0.9792,281736,2
2531.1399,876.8118,553.4316,0.7756,692.2264,0.9688,388480,2
2163.1311,831.9025,477.1172,0.8192,627.2662,0.9812,314953,2
2722.6831,893.1884,491.8964,0.8347,656.6061,0.9451,358287,2
2205.3831,851.6366,461.404,0.8405,624.9907,0.9737,315074,2
2409.259,941.2642,509.9813,0.8405,692.2668,0.9852,382055,2
1979.91,765.7112,444.7476,0.814,582.2601,0.9917,268512,2
2237.895,812.6631,491.8975,0.796,628.4079,0.9741,318384,2
2263.8721,861.6223,507.2628,0.8083,660.1249,0.9805,349053,2
2247.1541,868.6652,498.7621,0.8187,656.9008,0.9877,343124,2
2534.9299,964.1249,506.2896,0.851,692.6226,0.9753,386301,2
2297.5901,813.4385,573.2492,0.7095,681.3458,0.9806,371829,2
2372.927,936.3535,482.3184,0.8571,670.5345,0.9823,359483,2
2000.7679,723.755,488.6776,0.7376,592.5602,0.9792,281629,2
2462.323,886.2712,521.8904,0.8082,673.5809,0.9594,371435,2
2301.7771,901.9976,449.2205,0.8672,632.6958,0.9603,327390,2
2241.5271,822.7707,541.0915,0.7533,664.5109,0.9836,352609,2
2509.5149,999.2378,491.9224,0.8704,697.9825,0.9644,396751,2
2429.0669,878.1395,455.6671,0.8548,629.06,0.966,321718,2
2357.595,904.4373,520.1105,0.8181,683.8871,0.9868,372244,2
2147.834,843.7059,399.5622,0.8808,577.2936,0.9724,269176,2
2500.2959,1036.5886,444.3591,0.9035,671.2993,0.9426,375480,2
2544.783,897.7682,557.4372,0.7839,705.9146,0.965,405582,2
2113.0339,785.2101,497.2452,0.7739,623.613,0.9848,310166,2
2204.2451,888.2299,464.3716,0.8525,639.6149,0.9873,325458,2
2344.6541,915.7393,480.3995,0.8513,659.8346,0.9747,350834,2
2307.666,868.3939,492.134,0.8239,652.3974,0.9803,340999,2
2128.178,791.0696,492.8919,0.7822,623.181,0.9855,309501,2
2386.7781,963.5161,465.2725,0.8757,667.868,0.9867,355063,2
2206.6931,836.2029,495.7765,0.8053,642.6038,0.986,328911,2
2119.7129,722.8275,544.2319,0.6581,616.9696,0.9424,317248,2
2263.136,830.3763,511.5652,0.7877,648.0513,0.9747,338410,2
2146.249,812.8783,462.5508,0.8223,607.4139,0.979,295999,2
2425.6589,916.2908,494.7873,0.8417,668.1367,0.9612,364764,2
2423.8159,923.5928,526.172,0.8219,695.0229,0.98,387151,2
2640.3721,937.067,524.6108,0.8286,695.4277,0.9692,391899,2
